Workload,Config,DRAM (area),DRAM (energy),ifmap_spad (area),ifmap_spad (energy),mac (area),mac (energy),psum_spad (area),psum_spad (energy),shared_glb (area),shared_glb (energy),shared_glb_io (area),shared_glb_io (energy),shared_glb_w (area),shared_glb_w (energy),weight_quantize (area),weight_quantize (energy),weights_spad (area),weights_spad (energy),Total (area),Total (energy)
DNN,w0,N/A,1.35e-03 (18.13%),3.40e-08 (0.91%),3.54e-04 (4.74%),1.68e-07 (4.52%),4.17e-04 (5.59%),4.17e-08 (1.12%),8.19e-04 (10.98%),8.97e-07 (24.12%),3.22e-03 (43.14%),,,,,3.38e-07 (9.09%),2.32e-04 (3.11%),2.24e-06 (60.24%),1.07e-03 (14.31%),3.72e-06 (100.00%),7.46e-03 (100.00%)
DNN,w3,N/A,1.34e-03 (16.29%),3.40e-08 (1.00%),3.45e-04 (4.18%),1.68e-07 (4.97%),4.17e-04 (5.05%),4.17e-08 (1.23%),8.19e-04 (9.93%),8.97e-07 (26.50%),3.16e-03 (38.33%),,,,,3.02e-09 (0.09%),2.74e-05 (0.33%),2.24e-06 (66.20%),2.14e-03 (25.89%),3.38e-06 (100.00%),8.25e-03 (100.00%)
DNN,w3s,N/A,3.19e-03 (30.27%),3.40e-08 (1.02%),4.37e-04 (4.15%),1.68e-07 (5.03%),4.17e-04 (3.96%),4.17e-08 (1.25%),9.84e-04 (9.35%),,,5.51e-08 (1.65%),1.41e-03 (13.40%),7.99e-07 (23.92%),1.56e-03 (14.84%),3.02e-09 (0.09%),5.62e-05 (0.53%),2.24e-06 (67.04%),2.47e-03 (23.50%),3.34e-06 (100.00%),1.05e-02 (100.00%)
DNN,w4,N/A,3.06e-03 (27.41%),3.40e-08 (1.02%),4.37e-04 (3.91%),1.68e-07 (5.03%),4.17e-04 (3.73%),4.17e-08 (1.25%),9.91e-04 (8.87%),,,5.51e-08 (1.65%),1.10e-03 (9.84%),7.99e-07 (23.92%),2.77e-03 (24.78%),3.02e-09 (0.09%),1.72e-06 (0.02%),2.24e-06 (67.04%),2.40e-03 (21.45%),3.34e-06 (100.00%),1.12e-02 (100.00%)
